Date,Consommation
2020-07-20,45373.604166666664
2020-07-21,46638.604166666664
2020-07-22,46569.416666666664
2020-07-23,46757.5
2020-07-24,45892.166666666664
2020-07-25,40974.9375
2020-07-26,38579.5
2020-07-27,45108.6875
2020-07-28,45932.75
2020-07-29,46025.229166666664
2020-07-30,46744.833333333336
2020-07-31,46518.354166666664
2020-08-01,41343.291666666664
2020-08-02,37869.479166666664
2020-08-03,41414.458333333336
2020-08-04,41911.166666666664
2020-08-05,42316.8125
2020-08-06,43091.375
2020-08-07,43777.958333333336
2020-08-08,40801.854166666664
2020-08-09,39131.416666666664
2020-08-10,43342.583333333336
2020-08-11,44268.5
2020-08-12,43891.020833333336
2020-08-13,42655.833333333336
2020-08-14,41971.458333333336
2020-08-15,38407.416666666664
2020-08-16,36701.8125
2020-08-17,41094.0625
2020-08-18,42435.916666666664
2020-08-19,43203.75
2020-08-20,44354.458333333336
2020-08-21,44423.166666666664
2020-08-22,40144.541666666664
2020-08-23,37516.5625
2020-08-24,42969.8125
2020-08-25,44886.020833333336
2020-08-26,45383.1875
2020-08-27,45373.25
2020-08-28,44484.8125
2020-08-29,39279.229166666664
2020-08-30,37415.708333333336
2020-08-31,43684.520833333336
2020-09-01,45057.979166666664
2020-09-02,45168.708333333336
2020-09-03,45610.020833333336
2020-09-04,45439.979166666664
2020-09-05,40040.9375
2020-09-06,37856.958333333336
2020-09-07,44196.104166666664
2020-09-08,45635.958333333336
2020-09-09,45911.979166666664
